;times;auc;iauc;model;fold
0;1;0.885369532;0.856244109;cox;0
1;2;0.783759262;0.856244109;cox;0
2;3;0.803233454;0.856244109;cox;0
3;4;0.787386975;0.856244109;cox;0
4;5;0.808919434;0.856244109;cox;0
5;6;0.821415279;0.856244109;cox;0
6;7;0.844625553;0.856244109;cox;0
7;8;0.83717964;0.856244109;cox;0
8;9;0.82964312;0.856244109;cox;0
9;10;0.829450476;0.856244109;cox;0
10;11;0.848011097;0.856244109;cox;0
11;12;0.861754223;0.856244109;cox;0
12;13;0.862685665;0.856244109;cox;0
13;14;0.841836543;0.856244109;cox;0
14;15;0.834892357;0.856244109;cox;0
15;16;0.843684635;0.856244109;cox;0
16;17;0.85101897;0.856244109;cox;0
17;18;0.850106644;0.856244109;cox;0
18;19;0.847150132;0.856244109;cox;0
19;20;0.856370519;0.856244109;cox;0
20;21;0.855715125;0.856244109;cox;0
21;22;0.844279624;0.856244109;cox;0
22;23;0.843020587;0.856244109;cox;0
23;24;0.842826982;0.856244109;cox;0
24;25;0.855340878;0.856244109;cox;0
25;26;0.844829044;0.856244109;cox;0
26;27;0.8402375;0.856244109;cox;0
27;28;0.839741938;0.856244109;cox;0
28;29;0.831255887;0.856244109;cox;0
29;30;0.82992843;0.856244109;cox;0
30;31;0.830815993;0.856244109;cox;0
31;32;0.834533303;0.856244109;cox;0
32;33;0.837435055;0.856244109;cox;0
33;34;0.824482499;0.856244109;cox;0
34;35;0.842215854;0.856244109;cox;0
35;36;0.831659988;0.856244109;cox;0
36;37;0.821041442;0.856244109;cox;0
37;38;0.854026074;0.856244109;cox;0
38;39;0.841589531;0.856244109;cox;0
39;40;0.838615583;0.856244109;cox;0
40;41;0.825113995;0.856244109;cox;0
41;43;0.844008475;0.856244109;cox;0
42;50;0.835291886;0.856244109;cox;0
43;57;0.863831953;0.856244109;cox;0
44;64;0.887019168;0.856244109;cox;0
45;71;0.87712478;0.856244109;cox;0
0;1;0.817962628;0.779138955;cox;1
1;2;0.695188988;0.779138955;cox;1
2;3;0.668977169;0.779138955;cox;1
3;4;0.669269648;0.779138955;cox;1
4;5;0.747477934;0.779138955;cox;1
5;6;0.72987189;0.779138955;cox;1
6;7;0.748981336;0.779138955;cox;1
7;8;0.746336134;0.779138955;cox;1
8;9;0.772570375;0.779138955;cox;1
9;10;0.782832333;0.779138955;cox;1
10;11;0.755489046;0.779138955;cox;1
11;12;0.76343961;0.779138955;cox;1
12;13;0.781300911;0.779138955;cox;1
13;14;0.779101531;0.779138955;cox;1
14;15;0.783810126;0.779138955;cox;1
15;16;0.772941049;0.779138955;cox;1
16;17;0.773350595;0.779138955;cox;1
17;18;0.782572526;0.779138955;cox;1
18;19;0.781843894;0.779138955;cox;1
19;20;0.793835096;0.779138955;cox;1
20;21;0.779589039;0.779138955;cox;1
21;22;0.789871977;0.779138955;cox;1
22;23;0.782273773;0.779138955;cox;1
23;24;0.764710299;0.779138955;cox;1
24;25;0.766555311;0.779138955;cox;1
25;26;0.754556734;0.779138955;cox;1
26;27;0.758665227;0.779138955;cox;1
27;28;0.760007822;0.779138955;cox;1
28;29;0.769959882;0.779138955;cox;1
29;30;0.78853356;0.779138955;cox;1
30;31;0.772517406;0.779138955;cox;1
31;32;0.769874609;0.779138955;cox;1
32;33;0.769185184;0.779138955;cox;1
33;34;0.751738977;0.779138955;cox;1
34;35;0.739037766;0.779138955;cox;1
35;36;0.745474536;0.779138955;cox;1
36;37;0.740887611;0.779138955;cox;1
37;38;0.765382644;0.779138955;cox;1
38;39;0.760829858;0.779138955;cox;1
39;40;0.765048087;0.779138955;cox;1
40;41;0.763254587;0.779138955;cox;1
41;43;0.808839049;0.779138955;cox;1
42;50;0.810857601;0.779138955;cox;1
43;57;0.799767649;0.779138955;cox;1
44;64;0.816246176;0.779138955;cox;1
45;71;0.837666412;0.779138955;cox;1
0;1;0.963114754;0.73765198;cox;2
1;2;0.901995814;0.73765198;cox;2
2;3;0.803053797;0.73765198;cox;2
3;4;0.697421826;0.73765198;cox;2
4;5;0.723391191;0.73765198;cox;2
5;6;0.762135708;0.73765198;cox;2
6;7;0.792935731;0.73765198;cox;2
7;8;0.774159266;0.73765198;cox;2
8;9;0.781325461;0.73765198;cox;2
9;10;0.786379947;0.73765198;cox;2
10;11;0.777015212;0.73765198;cox;2
11;12;0.76200804;0.73765198;cox;2
12;13;0.778217506;0.73765198;cox;2
13;14;0.788323024;0.73765198;cox;2
14;15;0.782803078;0.73765198;cox;2
15;16;0.774965946;0.73765198;cox;2
16;17;0.763104372;0.73765198;cox;2
17;18;0.757665702;0.73765198;cox;2
18;19;0.743532619;0.73765198;cox;2
19;20;0.741060912;0.73765198;cox;2
20;21;0.73751663;0.73765198;cox;2
21;22;0.737777318;0.73765198;cox;2
22;23;0.74197082;0.73765198;cox;2
23;24;0.758845044;0.73765198;cox;2
24;25;0.746141603;0.73765198;cox;2
25;26;0.738821886;0.73765198;cox;2
26;27;0.731197196;0.73765198;cox;2
27;28;0.734777851;0.73765198;cox;2
28;29;0.728100345;0.73765198;cox;2
29;30;0.718332605;0.73765198;cox;2
30;31;0.7186701;0.73765198;cox;2
31;32;0.732264399;0.73765198;cox;2
